Üst Parça (Parent);Alt Parça (Child);Miktar;uretim_sekli;malzeme;malzeme_ebat;alt_kod;revizyon;tarih
M3MTPB05;M3MTMN05;1;Milling (Freze);Aluminium 6082;15x25 x 282mm;RAL6K125;02;9.03.2026
M2MTAN01;M3MTMN06;1;Milling (Freze);2.0975 - C9580  CuAl10Ni;N/A;M3MTTN03;01;1.01.2021
M3MTMN06;M3MTTN03;1;Lathe (Torna);2.0975 - C9580  CuAl10Ni;Ø30 x 15mm;RBCNB030;01;1.01.2021
M2MTAN01;DIN934;1;;;;;01;1.01.2021
M2MTAN01;M3MTMN07;1;Milling (Freze);POM (Derlin) - BLACK Colour;N/A;M3MTTN04;02;11.10.2022
M3MTMN07;M3MTTN04;1;Lathe (Torna);POM (Derlin) - BLACK Colour;Ø50 x 64mm;RPCSB050;01;1.01.2021
M2MTAN01;DIN912;2;;;;;01;1.01.2021
M2MTAN01;N1FTTR01;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
M2MTAN01;DIN471;1;;;;;01;1.01.2021
M2MTAN01;M3MTPB06;1;Cataphoresis (Kataforez);N/A;N/A;M2MTHN01;01;1.01.2021
M3MTPB06;M2MTHN01;1;Machining (İşleme);St37;N/A;M3MTLN02;01;1.01.2021
M2MTHN01;M3MTLN02;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2MTAN01;M3MTMN08;1;Milling (Freze);EN 1.4305 - AISI 303;N/A;M3MTTN06;01;1.01.2021
M3MTMN08;M3MTTN06;1;Lathe (Torna);EN 1.4305 - AISI 303;Ø38 x 40mm;RSCNK038;02;11.10.2022
M2MTAN01;M3MTTN07;2;Lathe (Torna);2.0975 - C9580  CuAl10Ni;Ø18 x 5mm;RBCNB018;01;1.01.2021
M2MTAN01;M3PNMN02;1;Milling (Freze);EN 1.4057 - AISI 431;N/A;M3PNTN11;01;1.01.2021
M3PNMN02;M3PNTN11;1;Lathe (Torna);EN 1.4057 - AISI 431;Ø16 x 42mm;RSCOB016;01;1.01.2021
M2MTAN01;M3PNTN12;1;Lathe (Torna);EN 1.4305 - AISI 303;Ø14 x 41mm;RSCNB014;01;1.01.2021
M2MTAN01;M3MTTN09;1;Lathe (Torna);POM (Derlin) - BLACK Colour;Ø60 x 50mm;RPCSB060;01;1.01.2021
TEKRMD_M1;P1CPINA3;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
TEKRMD_M1;P1CPINA4;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
TEKRMD_M1;E1MTRN04;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
TEKRMD_M1;DIN7991;7;;;;;01;1.01.2021
TEKRMD_M1;P1CPINA2;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
TEKRMD_M1;P1CPINA6;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
TEKRMD_M1;E2MBAN02;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
E2MBAN02;E3BXMN07;1;Milling (Freze);N/A;N/A;E1BXRN07;02;1.01.2022
E3BXMN07;E1BXRN07;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
E2MBAN02;M3TRLN06;1;Laser Cut (Lazer);Aluminium 5754 H111;N/A;N/A;00;1.01.2022
E2MBAN02;M3TRLN07;1;Laser Cut (Lazer);Aluminium 5754 H111;N/A;N/A;00;1.01.2022
E2MBAN02;M3TRPB02;1;Cataphoresis (Kataforez);N/A;N/A;M2TRWN01;01;1.01.2021
M3TRPB02;M2TRWN01;1;Welding (Kaynak);N/A;N/A;N/A;02;11.10.2022
M2TRWN01;M3TRLN08;1;Laser Cut (Lazer);St37;N/A;N/A;01;3.10.2022
M2TRWN01;M3TRLN04;1;Laser Cut (Lazer);St37;N/A;N/A;02;11.10.2022
M2TRWN01;M3TRLN05;1;Laser Cut (Lazer);St37;N/A;N/A;02;3.10.2022
TEKRMD_M1;DIN7991;6;;;;;01;1.01.2021
TEKRMD_M1;DIN7380;4;;;;;01;1.01.2021
TEKRMD_M1;P2C2RB01;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
TEKRMD_M1;P1CPINA5;1;Painting (Boyama);Lexan EXL 5689;N/A;N/A;01;17.02.2018
TEKRMD_M1;M2C2AN01;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
M2C2AN01;DIN7991;3;;;;;01;1.01.2021
M2C2AN01;M3C2PB03;1;Cataphoresis (Kataforez);N/A;N/A;M3C2MN03;01;1.01.2021
M3C2PB03;M3C2MN03;1;Milling (Freze);SAE 1040 Cold Drawn;20x25 x 75mm;RCLNK225;01;1.01.2021
M2C2AN01;M3C2TN01;2;Lathe (Torna);2.0975 - C9580  CuAl10Ni;Ø22 x 16mm;RBCNB022;01;1.01.2021
M2C2AN01;M3C2MN06;1;Milling (Freze);EN 1.4057 - AISI 431;N/A;M3C2TN02;01;1.01.2021
M3C2MN06;M3C2TN02;1;Lathe (Torna);EN 1.4057 - AISI 431;Ø18 x 77mm;RSCOB018;01;1.01.2021
M2C2AN01;M3C2PB02;1;Cataphoresis (Kataforez);N/A;N/A;M2C2WN02;01;1.01.2021
M3C2PB02;M2C2WN02;1;Welding (Kaynak);N/A;N/A;N/A;01;1.01.2021
M2C2WN02;M2C2HN02;1;Machining (İşleme);St37;N/A;M3C2BN02;01;1.01.2021
M2C2HN02;M3C2BN02;1;Bending (Büküm);St37;N/A;M3C2LN03;01;1.01.2021
M3C2BN02;M3C2LN03;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2C2WN02;M3C2LN01;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2C2WN02;M3C2MN02;1;Milling (Freze);St37;N/A;M3C2LN02;01;1.01.2021
M3C2MN02;M3C2LN02;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2C2AN01;M3C2PB01;1;Cataphoresis (Kataforez);N/A;N/A;M2C2WN01;01;1.01.2021
M3C2PB01;M2C2WN01;1;Welding (Kaynak);N/A;N/A;N/A;01;1.01.2021
M2C2WN01;M3C2LN01;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2C2WN01;M2C2HN01;1;Machining (İşleme);St37;N/A;M3C2BN01;01;1.01.2021
M2C2HN01;M3C2BN01;1;Bending (Büküm);St37;N/A;M3C2LN03;01;1.01.2021
M3C2BN01;M3C2LN03;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2C2WN01;M3C2MN02;1;Milling (Freze);St37;N/A;M3C2LN02;01;1.01.2021
M2C2AN01;M3C2TN04;1;Lathe (Torna);POM (Derlin) - BLACK Colour;Ø20 x 25mm;RPCSB020;02;14.10.2022
M2C2AN01;M3C2TN03;1;Lathe (Torna);EN 1.4305 - AISI 303;Ø10 x 42mm;RSCNB010;01;1.01.2021
TEKRMD_M1;M2C2AN02;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
M2C2AN02;M1BBRN04;2;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
M2C2AN02;M1TRRN05;2;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
M2C2AN02;DIN7380;8;;;;;01;1.01.2021
M2C2AN02;M3C2PB09;2;Cataphoresis (Kataforez);N/A;N/A;M3C2MN08;01;1.01.2021
M3C2PB09;M3C2MN08;1;Milling (Freze);St37;N/A;M3C2LN13;01;1.01.2021
M3C2MN08;M3C2LN13;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2C2AN02;M1TRRN06;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
M2C2AN02;DIN127;8;;;;;01;1.01.2021
M2C2AN02;DIN7380;4;;;;;01;1.01.2021
M2C2AN02;DIN127;8;;;;;01;1.01.2021
M2C2AN02;DIN127;4;;;;;01;1.01.2021
M2C2AN02;DIN471;4;;;;;01;1.01.2021
M2C2AN02;DIN933;8;;;;;01;1.01.2021
M2C2AN02;M3C2TN05;2;Lathe (Torna);İnd. Sert Krom Kaplı Mil;Ø12 x 268mm;RICNK012;01;1.01.2021
M2C2AN02;M2C2WN03;1;Welding (Kaynak);N/A;N/A;N/A;01;1.01.2021
M2C2WN03;M3C2LN06;2;Laser Cut (Lazer);Aluminium 5754 H111;N/A;N/A;01;1.01.2021
M2C2WN03;M3C2LN05;2;Laser Cut (Lazer);Aluminium 5754 H111;N/A;N/A;01;1.01.2021
M2C2WN03;M3C2LN07;4;Laser Cut (Lazer);Aluminium 5754 H111;N/A;N/A;01;1.01.2021
M2C2WN03;M2C2HN03;1;Machining (İşleme);Aluminium 5754 H111;N/A;M3C2LN04;01;1.01.2021
M2C2HN03;M3C2LN04;1;Laser Cut (Lazer);Aluminium 5754 H111;N/A;N/A;02;3.12.2021
M2C2WN03;M3C2LN08;2;Laser Cut (Lazer);Aluminium 5754 H111;N/A;N/A;01;1.01.2021
M2C2AN02;M3C2PB06;1;Cataphoresis (Kataforez);N/A;N/A;M2C2HN06;01;1.01.2021
M3C2PB06;M2C2HN06;1;Machining (İşleme);Aluminium 5754 H111;N/A;M3C2LN11;02;18.04.2022
M2C2HN06;M3C2LN11;1;Laser Cut (Lazer);Aluminium 5754 H111;N/A;N/A;01;1.01.2021
M2C2AN02;M3C2PB04;1;Cataphoresis (Kataforez);N/A;N/A;M3C2MN01;01;1.01.2021
M3C2PB04;M3C2MN01;1;Milling (Freze);SAE 1040 Cold Drawn;70x70 x 50mm;RCLNK770;01;1.01.2021
M2C2AN02;M3C2PB07;1;Cataphoresis (Kataforez);N/A;N/A;M3C2MN07;01;1.01.2021
M3C2PB07;M3C2MN07;1;Milling (Freze);Aluminium 5754 H111;N/A;M3C2LN12;01;1.01.2021
M3C2MN07;M3C2LN12;1;Laser Cut (Lazer);Aluminium 5754 H111;N/A;N/A;02;11.10.2022
M2C2AN02;M3C2PB10;2;Cataphoresis (Kataforez);N/A;N/A;M3C2MN10;01;1.01.2021
M3C2PB10;M3C2MN10;1;Milling (Freze);St37;N/A;M3C2LN14;01;1.01.2021
M3C2MN10;M3C2LN14;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2C2AN02;M3C2MN09;2;Milling (Freze);EN 1.4057 - AISI 431;N/A;M3C2TN06;01;1.01.2021
M3C2MN09;M3C2TN06;1;Lathe (Torna);EN 1.4057 - AISI 431;Ø14 x 30mm;RSCOB014;01;1.01.2021
M2C2AN02;M3C2MN04;1;Milling (Freze);Aluminium 7075 T6;N/A;M3C2LN09;01;1.01.2021
M3C2MN04;M3C2LN09;1;Laser Cut (Lazer);Aluminium 7075 T6;N/A;N/A;01;1.01.2021
M2C2AN02;M3C2MN05;1;Milling (Freze);Aluminium 7075 T6;N/A;M3C2LN10;01;1.01.2021
M3C2MN05;M3C2LN10;1;Laser Cut (Lazer);Aluminium 7075 T6;N/A;N/A;01;1.01.2021
TEKRMD_M1;DIN7991;8;;;;;01;1.01.2021
TEKRMD_M1;M3BUTN02;2;Lathe (Torna);EN 1.4305 - AISI 303;Ø18 x 10mm;RSCNB018;01;1.01.2021
TEKRMD_M1;P3CPPB28;2;Painting (Boyama);N/A;N/A;P3CPIN28;01;1.01.2021
TEKRMD_M1;M3K2PB02;2;Cataphoresis (Kataforez);N/A;N/A;M3K2MN06;01;1.01.2021
M3K2PB02;M3K2MN06;1;Milling (Freze);SAE 1040 Cold Drawn;50x15 x 36mm;RCLNK515;01;1.01.2021
TEKRMD_M1;M2K1AN03;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
M2K1AN03;DIN7380;2;;;;;01;1.01.2021
M2K1AN03;DIN934;2;;;;;01;1.01.2021
M2K1AN03;DIN127;2;;;;;01;1.01.2021
M2K1AN03;M3K1PB03;1;Cataphoresis (Kataforez);N/A;N/A;M2K1WN03;01;1.01.2021
M3K1PB03;M2K1WN03;1;Welding (Kaynak);N/A;N/A;N/A;01;1.01.2021
M2K1WN03;M3K2BN12;1;Bending (Büküm);St37;N/A;M3K2LN12;02;22.04.2022
M3K2BN12;M3K2LN12;1;Laser Cut (Lazer);St37;N/A;N/A;02;22.04.2022
M2K1WN03;M3K2LN16;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2K1WN03;M3K2LN15;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2K1WN03;M3K2TN12;1;Lathe (Torna);SAE 1010 Cold Drawn;Ø30 x 21mm;RCCNB030;01;1.01.2021
M2K1AN03;M3K2PB08;1;Cataphoresis (Kataforez);N/A;N/A;M3K2MN01;01;1.01.2021
M3K2PB08;M3K2MN01;1;Milling (Freze);SAE 1040 Cold Drawn;40x20 x 95mm;RCLNK420;01;1.01.2021
TEKRMD_M1;P2CPAB27;2;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
P2CPAB27;P3CPPB27;1;Painting (Boyama);N/A;N/A;P3CPIN27;01;1.01.2021
TEKRMD_M1;M2K1AN04;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
M2K1AN04;DIN934;2;;;;;01;1.01.2021
M2K1AN04;DIN7380;2;;;;;01;1.01.2021
M2K1AN04;DIN127;2;;;;;01;1.01.2021
M2K1AN04;M3K1PB04;1;Cataphoresis (Kataforez);N/A;N/A;M2K1WN04;01;1.01.2021
M3K1PB04;M2K1WN04;1;Welding (Kaynak);N/A;N/A;N/A;01;1.01.2021
M2K1WN04;M3K2LN16;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2K1WN04;M3K2TN12;1;Lathe (Torna);SAE 1010 Cold Drawn;Ø30 x 21mm;RCCNB030;01;1.01.2021
M2K1WN04;M3K2BN13;1;Bending (Büküm);St37;N/A;M3K2LN12;02;22.04.2022
M3K2BN13;M3K2LN12;1;Laser Cut (Lazer);St37;N/A;N/A;02;22.04.2022
M2K1WN04;M3K2LN15;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2K1AN04;M3K2PB08;1;Cataphoresis (Kataforez);N/A;N/A;M3K2MN01;01;1.01.2021
TEKRMD_M1;M3K2PB03;2;Cataphoresis (Kataforez);N/A;N/A;M3K2LN03;01;1.01.2021
M3K2PB03;M3K2LN03;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
TEKRMD_M1;M2TRAN01;2;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
M2TRAN01;M3S2MN04;1;Milling (Freze);EN 1.4305 - AISI 303;N/A;M3S2TN04;01;1.01.2021
M3S2MN04;M3S2TN04;1;Lathe (Torna);EN 1.4305 - AISI 303;Ø20 x 115mm;RSCNB020;01;1.01.2021
M2TRAN01;M3S2TN05;1;Lathe (Torna);EN 1.4305 - AISI 303;N/A;RSCNB020;01;16.02.2018
M2TRAN01;M3S2TN06;1;Lathe (Torna);EN 1.4305 - AISI 303;Ø8 x 65mm;RSCNB008;01;1.01.2021
TEKRMD_M1;P2CPAS32;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
P2CPAS32;DIN912;4;;;;;01;1.01.2021
P2CPAS32;DIN125;4;;;;;01;1.01.2021
P2CPAS32;P3CPPS30;1;Painting (Boyama);N/A;N/A;P3CPIN30;01;1.01.2021
P2CPAS32;P3CPPB29;1;Painting (Boyama);N/A;N/A;P3CPIN29;01;1.01.2021
P2CPAS32;M3L2PB40;1;Cataphoresis (Kataforez);N/A;N/A;M2L2WN40;01;1.01.2021
M3L2PB40;M2L2WN40;1;Welding (Kaynak);N/A;N/A;N/A;01;1.01.2021
M2L2WN40;M3L2LN43;2;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2L2WN40;M3L2LN41;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2L2WN40;M3L2LN44;2;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2L2WN40;M3L2LN42;2;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
TEKRMD_M1;P2CPAG19;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
P2CPAG19;P3CPPG19;1;Painting (Boyama);N/A;N/A;P3CPIN19;01;1.01.2021
P3CPPG19;P3CPIN19;1;Plastic Injection (Plastik Baskı);Lexan EXL 5689;N/A;P1RPGR02;01;1.01.2021
P2CPAG19;M1MGRN15;3;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
TEKRMD_M1;M2TLAN01;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
M2TLAN01;M3TLMN01;1;Milling (Freze);POM (Derlin) - BLACK Colour;N/A;M3TLTN02;02;14.10.2022
M3TLMN01;M3TLTN02;1;Lathe (Torna);POM (Derlin) - BLACK Colour;Ø35 x 143mm;RPCSB035;01;1.01.2021
M2TLAN01;M3TLLN01;1;Laser Cut (Lazer);EN 1.4305 - AISI 303;N/A;N/A;01;1.01.2021
M2TLAN01;M1MGRN15;3;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
M2TLAN01;M3TLTN01;1;Lathe (Torna);Aluminium 7075 T6;Ø20 x 595mm;RAC7K020;02;14.10.2022
TEKRMD_M1;M2E1AN01;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
M2E1AN01;DIN912;10;;;;;01;1.01.2021
M2E1AN01;DIN127;4;;;;;01;1.01.2021
M2E1AN01;DIN912;4;;;;;01;1.01.2021
M2E1AN01;DIN127;10;;;;;01;1.01.2021
M2E1AN01;DIN933;4;;;;;01;1.01.2021
M2E1AN01;DIN127;4;;;;;01;1.01.2021
M2E1AN01;DIN912;4;;;;;01;1.01.2021
M2E1AN01;M3E2PB01;2;Cataphoresis (Kataforez);N/A;N/A;M3E2LN04;01;1.01.2021
M3E2PB01;M3E2LN04;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2E1AN01;DIN934;2;;;;;01;1.01.2021
M2E1AN01;M3E2TN05;12;Lathe (Torna);2.0975 - C9580  CuAl10Ni;Ø14 x 10mm;RBCNB014;02;14.10.2022
M2E1AN01;M3E2PB13;1;Cataphoresis (Kataforez);N/A;N/A;M2E2WN01;01;1.01.2021
M3E2PB13;M2E2WN01;1;Welding (Kaynak);N/A;N/A;N/A;01;1.01.2021
M2E2WN01;M3E2BN01;1;Bending (Büküm);St37;N/A;M3E2LN01;01;1.01.2021
M3E2BN01;M3E2LN01;1;Laser Cut (Lazer);St37;N/A;N/A;02;14.10.2022
M2E2WN01;M3E2LN03;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2E2WN01;M3E2BN02;4;Bending (Büküm);St37;N/A;M3E2LN02;01;1.01.2021
M3E2BN02;M3E2LN02;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2E1AN01;DIN934;2;;;;;01;1.01.2021
M2E1AN01;M3E2TN02;1;Lathe (Torna);EN 1.4305 - AISI 303;Ø12 x 425mm;RSCNB012;01;1.01.2021
M2E1AN01;M3E2TN04;1;Lathe (Torna);EN 1.4305 - AISI 303;Ø12 x 325mm;RSCNB012;01;1.01.2021
M2E1AN01;DIN934;2;;;;;01;1.01.2021
M2E1AN01;DIN471;4;;;;;01;1.01.2021
M2E1AN01;M3E2TN01;1;Lathe (Torna);Aluminium 7075 T6;Ø30 x 750mm;RAC7K030;02;14.10.2022
M2E1AN01;M1TRRN07;2;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
M2E1AN01;M3E2PB14;1;Cataphoresis (Kataforez);N/A;N/A;M3E2MN08;01;1.01.2021
M3E2PB14;M3E2MN08;1;Milling (Freze);SAE 1040 Cold Drawn;60x25 x 110mm;RCLNK625;02;14.10.2022
M2E1AN01;DIN7380;4;;;;;01;1.01.2021
M2E1AN01;M3E2PB02;2;Cataphoresis (Kataforez);N/A;N/A;M3E2MN01;01;1.01.2021
M3E2PB02;M3E2MN01;1;Milling (Freze);SAE 1040 Cold Drawn;15x20 x 785mm;RCLNK215;01;1.01.2021
M2E1AN01;M3E2TN10;6;Lathe (Torna);POM (Derlin) - BLACK Colour;Ø35 x 16mm;RPCSB035;01;1.01.2021
M2E1AN01;M3E2PB03;1;Cataphoresis (Kataforez);N/A;N/A;M2E2WN02;01;1.01.2021
M3E2PB03;M2E2WN02;1;Welding (Kaynak);N/A;N/A;N/A;01;1.01.2021
M2E2WN02;M3E2LN06;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2E2WN02;M3E2BN03;1;Bending (Büküm);St37;N/A;M3E2LN05;01;1.01.2021
M3E2BN03;M3E2LN05;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2E1AN01;M3E2PB06;2;Cataphoresis (Kataforez);N/A;N/A;M3E2LN07;01;1.01.2021
M3E2PB06;M3E2LN07;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2E1AN01;M3E2TN11;2;Lathe (Torna);POM (Derlin) - BLACK Colour;Ø16 x 62mm;RPCSB016;01;1.01.2021
M2E1AN01;M3E2PB10;2;Cataphoresis (Kataforez);N/A;N/A;M3E2MN06;01;1.01.2021
M3E2PB10;M3E2MN06;1;Milling (Freze);St37;N/A;M3E2LN11;01;1.01.2021
M3E2MN06;M3E2LN11;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2E1AN01;M3E2MN03;6;Milling (Freze);EN 1.4305 - AISI 303;N/A;M3E2TN09;02;4.11.2022
M3E2MN03;M3E2TN09;1;Lathe (Torna);EN 1.4305 - AISI 303;Ø14 x 36mm;RSCNB014;02;4.11.2022
M2E1AN01;M3E2TN06;1;Lathe (Torna);EN 1.4305 - AISI 303;Ø14 x 300mm;RSCNB014;01;1.01.2021
M2E1AN01;M3E2PB05;2;Cataphoresis (Kataforez);N/A;N/A;M3E2MN02;01;1.01.2021
M3E2PB05;M3E2MN02;1;Milling (Freze);SAE 1040 Cold Drawn;10x20 x 905mm;RCLNK120;01;1.01.2021
M2E1AN01;M3E2TN08;2;Lathe (Torna);POM (Derlin) - BLACK Colour;Ø16 x 75mm;RPCSB016;02;28.12.2021
M2E1AN01;M3E2PB04;1;Cataphoresis (Kataforez);N/A;N/A;M2E2WN03;01;1.01.2021
M3E2PB04;M2E2WN03;1;Welding (Kaynak);N/A;N/A;N/A;01;1.01.2021
M2E2WN03;M3E2LN06;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2E2WN03;M3E2BN04;1;Bending (Büküm);St37;N/A;M3E2LN05;01;1.01.2021
M3E2BN04;M3E2LN05;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2E1AN01;M3E2PB07;2;Cataphoresis (Kataforez);N/A;N/A;M3E2MN04;01;1.01.2021
M3E2PB07;M3E2MN04;1;Milling (Freze);St37;N/A;M3E2LN08;01;1.01.2021
M3E2MN04;M3E2LN08;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2E1AN01;M3E2PB08;2;Cataphoresis (Kataforez);N/A;N/A;M3E2MN05;01;1.01.2021
M3E2PB08;M3E2MN05;1;Milling (Freze);St37;N/A;M3E2LN09;01;1.01.2021
M3E2MN05;M3E2LN09;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2E1AN01;M3E2PB09;1;Cataphoresis (Kataforez);N/A;N/A;M3E2BN05;01;1.01.2021
M3E2PB09;M3E2BN05;1;Bending (Büküm);St37;N/A;M3E2LN10;01;1.01.2021
M3E2BN05;M3E2LN10;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2E1AN01;M3E2TN13;1;Lathe (Torna);EN 1.4305 - AISI 303;Ø12 x 258mm;RSCNB012;01;1.01.2021
M2E1AN01;M3E2PB11;2;Cataphoresis (Kataforez);N/A;N/A;M3E2MN07;01;1.01.2021
M3E2PB11;M3E2MN07;1;Milling (Freze);St37;N/A;M3E2LN12;01;1.01.2021
M3E2MN07;M3E2LN12;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2E1AN01;M3E2TN14;2;Lathe (Torna);POM (Derlin) - BLACK Colour;Ø16 x 18mm;RPCSB016;01;1.01.2021
M2E1AN01;M3E2TN12;1;Lathe (Torna);Aluminium 7075 T6;Ø30 x 600mm;RAC7K030;02;14.10.2022
M2E1AN01;M3E2PB12;1;Cataphoresis (Kataforez);N/A;N/A;M3E2BN06;01;1.01.2021
M3E2PB12;M3E2BN06;1;Bending (Büküm);St37;N/A;M3E2LN13;01;1.01.2021
M3E2BN06;M3E2LN13;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
TEKRMD_M1;M2TRSN01;1;Machining (İşleme);EN 1.4305 - AISI 303;N/A;M3TRLN01;02;19.10.2022
M2TRSN01;M3TRLN01;1;Laser Cut (Lazer);EN 1.4305 - AISI 303;N/A;N/A;01;1.01.2021
TEKRMD_M1;M3TRPN01;1;Painting (Boyama);N/A;N/A;M2TRHN01;01;1.01.2021
M3TRPN01;M2TRHN01;1;Machining (İşleme);EN 1.4305 - AISI 303;N/A;M3TRLN01;02;19.10.2022
M2TRHN01;M3TRLN01;1;Laser Cut (Lazer);EN 1.4305 - AISI 303;N/A;N/A;01;1.01.2021
TEKRMD_M1;P2CPAG17;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
P2CPAG17;M1MGRN15;3;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
P2CPAG17;P3CPPG17;1;Painting (Boyama);N/A;N/A;P3CPIN17;01;1.01.2021
P3CPPG17;P3CPIN17;1;Plastic Injection (Plastik Baskı);Lexan EXL 5689;N/A;P1RPGR02;01;1.01.2021
