Üst Parça (Parent);Alt Parça (Child);Miktar;uretim_sekli;malzeme;malzeme_ebat;alt_kod;revizyon;tarih
M3M2PB10;M3M2MN10;1;Milling (Freze);St37;N/A;M3M2LN10;01;1.01.2021
M3M2MN10;M3M2LN10;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2M1AN06;M3M2PB06;1;Cataphoresis (Kataforez);N/A;N/A;M2M2WN06;01;1.01.2021
M3M2PB06;M2M2WN06;1;Welding (Kaynak);N/A;N/A;N/A;01;1.01.2021
M2M2WN06;M3M2MN07;1;Milling (Freze);St37;N/A;M3M2BN42;01;1.01.2021
M3M2MN07;M3M2BN42;1;Bending (Büküm);St37;N/A;M3M2LN42;01;1.01.2021
M3M2BN42;M3M2LN42;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2M2WN06;M3M2MN08;2;Milling (Freze);St37;N/A;M3M2LN07;01;1.01.2021
M3M2MN08;M3M2LN07;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2M2WN06;M3M2TN07;1;Lathe (Torna);SAE 1010 Cold Drawn;Ø14 x 21mm;RCCNB014;01;1.01.2021
M2M1AN06;M3M2PB09;1;Cataphoresis (Kataforez);N/A;N/A;M3M2MN09;01;1.01.2021
M3M2PB09;M3M2MN09;1;Milling (Freze);SAE 1040 Cold Drawn;60x25 x 96mm;RCLNK625;01;1.01.2021
M2M1AN06;M3M2MN11;1;Milling (Freze);EN 1.4057 - AISI 431;N/A;M3M2TN03;02;3.10.2022
M3M2MN11;M3M2TN03;1;Lathe (Torna);EN 1.4057 - AISI 431;Ø32 x 95mm;RSCOK032;01;1.01.2021
TEKRMD_M1;M2S1AN01;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
M2S1AN01;M3S1PB03;1;Cataphoresis (Kataforez);N/A;N/A;M2S1WN01;01;1.01.2021
M3S1PB03;M2S1WN01;1;Welding (Kaynak);N/A;N/A;N/A;01;1.01.2021
M2S1WN01;M2S1SN01;1;Machining (İşleme);St37;N/A;M3S1BN02;02;10.10.2022
M2S1SN01;M3S1BN02;1;Bending (Büküm);St37;N/A;M3S1LN02;02;10.10.2022
M3S1BN02;M3S1LN02;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2S1WN01;M3CHEN02;2;Press (Pres);N/A;N/A;M2CHWN02;01;1.01.2021
TEKRMD_M1;M3S1PB02;1;Cataphoresis (Kataforez);N/A;N/A;M2S1WN03;01;1.01.2021
M3S1PB02;M2S1WN03;1;Welding (Kaynak);N/A;N/A;N/A;01;1.01.2021
M2S1WN03;M2S2SN21;1;Machining (İşleme);St37;N/A;M3S2LN21;01;1.01.2021
M2S1WN03;M3CHEN02;1;Press (Pres);N/A;N/A;M2CHWN02;01;1.01.2021
M2S1WN03;M3S2LN22;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
TEKRMD_M1;DIN7991;10;;;;;01;1.01.2021
TEKRMD_M1;DIN7985H;20;;;;;01;1.01.2021
TEKRMD_M1;P2CPAB10;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
P2CPAB10;DIN912;1;;;;;01;1.01.2021
P2CPAB10;M1MGRN10;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
P2CPAB10;DIN127;1;;;;;01;1.01.2021
P2CPAB10;P3TRTB01;1;Lathe (Torna);POM (Derlin) - BLACK Colour;Ø12 x 25mm;RPCSB012;01;1.01.2021
P2CPAB10;P3CPPB10;1;Painting (Boyama);N/A;N/A;P3CPIN10;01;1.01.2021
TEKRMD_M1;P2CPAB07;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
P2CPAB07;M1MGRN10;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
P2CPAB07;DIN127;1;;;;;01;1.01.2021
P2CPAB07;P3CPPB07;1;Painting (Boyama);N/A;N/A;P3CPIN07;01;1.01.2021
P2CPAB07;P3TRTB02;1;Lathe (Torna);POM (Derlin) - BLACK Colour;Ø12 x 28mm;RPCSB012;01;1.01.2021
P2CPAB07;DIN912;1;;;;;01;1.01.2021
TEKRMD_M1;P3CPPB13;1;Painting (Boyama);N/A;N/A;P3CPIN13;01;1.01.2021
TEKRMD_M1;DIN7991;2;;;;;01;1.01.2021
TEKRMD_M1;P2CPAB09;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
P2CPAB09;M1MGRN10;2;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
P2CPAB09;N1PGRN12;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
P2CPAB09;P3CPPB09;1;Painting (Boyama);N/A;N/A;P3CPIN09;01;1.01.2021
TEKRMD_M1;P3CPPB06;1;Painting (Boyama);N/A;N/A;P3CPIN06;01;1.01.2021
TEKRMD_M1;M3S2TN01;2;Lathe (Torna);EN 1.4305 - AISI 303;Ø10x1.5 x 70mm;RSBNB010;01;1.01.2021
TEKRMD_M1;M3M2PB02;2;Cataphoresis (Kataforez);N/A;N/A;M2M2HN01;01;1.01.2021
M3M2PB02;M2M2HN01;1;Machining (İşleme);St37;N/A;M3M2LN01;01;1.01.2021
M2M2HN01;M3M2LN01;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
TEKRMD_M1;P3CPPB12;1;Painting (Boyama);N/A;N/A;P3CPIN12;01;1.01.2021
TEKRMD_M1;P2CPAB08;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
P2CPAB08;M1MGRN10;2;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
P2CPAB08;P3CPPB08;1;Painting (Boyama);N/A;N/A;P3CPIN08;01;1.01.2021
TEKRMD_M1;DIN912;2;;;;;01;1.01.2021
TEKRMD_M1;P2CPAB15;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
P2CPAB15;P3CPPB15;1;Painting (Boyama);N/A;N/A;P3CPIN15;01;1.01.2021
TEKRMD_M1;P3CPPB14;1;Painting (Boyama);N/A;N/A;P3CPIN14;01;1.01.2021
TEKRMD_M1;P3CPPG11;1;Painting (Boyama);N/A;N/A;P3CPIN11;01;1.01.2021
TEKRMD_M1;DIN912;2;;;;;01;1.01.2021
TEKRMD_M1;P2CPAB16;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
P2CPAB16;M1MGRN15;3;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
P2CPAB16;P3CPPB16;1;Painting (Boyama);N/A;N/A;P3CPIN16;01;1.01.2021
TEKRMD_M1;P2CPAB18;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
P2CPAB18;M1MGRN15;3;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
P2CPAB18;P3CPPB18;1;Painting (Boyama);N/A;N/A;P3CPIN18;01;1.01.2021
TEKRMD_M1;DIN7991;6;;;;;01;1.01.2021
TEKRMD_M1;E2CPAN01;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
E2CPAN01;E1CPRN01;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
E2CPAN01;M3U2PB01;1;Cataphoresis (Kataforez);N/A;N/A;M2U2SN06;01;1.01.2021
M3U2PB01;M2U2SN06;1;Machining (İşleme);St37;N/A;M3U2BN15;01;1.01.2021
M2U2SN06;M3U2BN15;1;Bending (Büküm);St37;N/A;M3U2LN15;01;1.01.2021
M3U2BN15;M3U2LN15;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
E2CPAN01;E1TRRN04;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
TEKRMD_M1;M2U1AN02;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
M2U1AN02;M1BBRN01;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
M2U1AN02;M3U1PB02;1;Cataphoresis (Kataforez);N/A;N/A;M2U1WN02;01;1.01.2021
M3U1PB02;M2U1WN02;1;Welding (Kaynak);N/A;N/A;N/A;01;1.01.2021
M2U1WN02;M3U2TN23;1;Lathe (Torna);SAE 1010 Cold Drawn;Ø20 x 13mm;RCCNB020;01;1.01.2021
M2U1WN02;M2U2HN22;1;Machining (İşleme);St37;N/A;M3U2LN22;01;1.01.2021
M2U2HN22;M3U2LN22;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
TEKRMD_M1;M3U2MN18;2;Milling (Freze);POM (Derlin) - BLACK Colour;15x15 x 70mm;RPLSB115;01;1.01.2021
TEKRMD_M1;T2STNN02;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
TEKRMD_M1;E1BTRN03;2;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
TEKRMD_M1;DIN127;7;;;;;01;1.01.2021
TEKRMD_M1;E2ONAN02;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
E2ONAN02;E1ONRN01;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
E2ONAN02;M3U2PB04;1;Cataphoresis (Kataforez);N/A;N/A;M2U2SN08;01;1.01.2021
M3U2PB04;M2U2SN08;1;Machining (İşleme);St37;N/A;M3U2BN18;01;1.01.2021
M2U2SN08;M3U2BN18;1;Bending (Büküm);St37;N/A;M3U2LN18;01;1.01.2021
M3U2BN18;M3U2LN18;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
TEKRMD_M1;M3L1PB01;1;Cataphoresis (Kataforez);N/A;N/A;M2L1WN01;01;1.01.2021
M3L1PB01;M2L1WN01;1;Welding (Kaynak);N/A;N/A;N/A;01;1.01.2021
M2L1WN01;M3L2LN31;1;Machining (İşleme);St37;40x40x4 x 190mm;RCPNK440;01;1.01.2021
M2L1WN01;M3L2LN32;2;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
TEKRMD_M1;M2U1AN03;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
M2U1AN03;M3U1PB03;1;Cataphoresis (Kataforez);N/A;N/A;M2U1WN03;01;1.01.2021
M3U1PB03;M2U1WN03;1;Welding (Kaynak);N/A;N/A;N/A;01;1.01.2021
M2U1WN03;M2U2HN21;1;Machining (İşleme);St37;N/A;M3U2LN21;01;1.01.2021
M2U2HN21;M3U2LN21;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2U1WN03;M3U2TN23;1;Lathe (Torna);SAE 1010 Cold Drawn;Ø20 x 13mm;RCCNB020;01;1.01.2021
M2U1AN03;M1BBRN01;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
TEKRMD_M1;E2MBAN03;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
E2MBAN03;E1PCM001;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
E2MBAN03;E3BXMN05;1;Milling (Freze);N/A;N/A;E1BXRN05;01;1.01.2021
E3BXMN05;E1BXRN05;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
E2MBAN03;E3BXMN06;1;Milling (Freze);N/A;N/A;E1BXRN06;01;1.01.2021
E3BXMN06;E1BXRN06;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
E2MBAN03;E3PCM203;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
E2MBAN03;E3TRMN01;1;Milling (Freze);Aluminium 5754 H111;10x15 x 120mm;RAL5K115;01;1.01.2021
E2MBAN03;M3TRLN02;1;Laser Cut (Lazer);Aluminium 5754 H111;N/A;N/A;01;1.01.2021
TEKRMD_M1;E2UCAN02;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
E2UCAN02;M3S2PB05;1;Cataphoresis (Kataforez);N/A;N/A;M3S2BN04;01;1.01.2021
M3S2PB05;M3S2BN04;1;Bending (Büküm);St37;N/A;M3S2LN07;01;1.01.2021
M3S2BN04;M3S2LN07;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
E2UCAN02;M3S2PB04;1;Cataphoresis (Kataforez);N/A;N/A;M2S2WN01;01;1.01.2021
M3S2PB04;M2S2WN01;1;Welding (Kaynak);N/A;N/A;N/A;01;1.01.2021
M2S2WN01;M3S2LN06;2;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2S2WN01;M2S2SN02;1;Machining (İşleme);St37;N/A;M3S2LN04;01;1.01.2021
M2S2SN02;M3S2LN04;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2S2WN01;M2S2SN03;1;Machining (İşleme);St37;N/A;M3S2LN05;01;1.01.2021
M2S2SN03;M3S2LN05;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
E2UCAN02;E3BXMN04;1;Milling (Freze);N/A;N/A;E1BXRN04;01;1.01.2021
E3BXMN04;E1BXRN04;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
TEKRMD_M1;E2UPAN02;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
